Time,Hand,Joint,Position_X,Position_Y,Position_Z
2025-03-10 17:37:50,Left,MiddleDistal,-0.2108295,1.077024,0.34082
2025-03-10 17:37:50,Left,MiddleTip,-0.2092088,1.103658,0.3354184
2025-03-10 17:37:50,Left,RingMetacarpal,-0.1772437,0.9553756,0.310431
2025-03-10 17:37:50,Left,RingProximal,-0.1900581,1.000351,0.3460722
2025-03-10 17:37:50,Left,RingIntermediate,-0.1882462,1.042755,0.3478436
2025-03-10 17:37:50,Left,RingDistal,-0.1869628,1.071533,0.345002
2025-03-10 17:37:50,Left,RingTip,-0.187128,1.09777,0.3408882
2025-03-10 17:37:50,Left,LittleMetacarpal,-0.1681859,0.9581548,0.3096378
2025-03-10 17:37:50,Left,LittleProximal,-0.1675545,0.9986258,0.338527
2025-03-10 17:37:50,Left,LittleIntermediate,-0.1614884,1.031163,0.343466
2025-03-10 17:37:50,Left,LittleDistal,-0.1569421,1.052779,0.3421981
2025-03-10 17:37:50,Left,LittleTip,-0.1543515,1.076557,0.3420312
2025-03-10 17:37:50,Right,Wrist,0.2029525,0.7912933,0.2928723
2025-03-10 17:37:50,Right,Palm,0.1921494,0.8072715,0.3615059
2025-03-10 17:37:50,Right,ThumbMetacarpal,0.1637426,0.7917479,0.3293048
2025-03-10 17:37:50,Right,ThumbProximal,0.1392001,0.7955055,0.3545617
2025-03-10 17:37:50,Right,ThumbDistal,0.1220252,0.7997453,0.3868439
2025-03-10 17:37:50,Right,ThumbTip,0.1056859,0.8017432,0.4080188
2025-03-10 17:37:50,Right,IndexMetacarpal,0.176006,0.7973425,0.3305429
2025-03-10 17:37:50,Right,IndexProximal,0.1662447,0.8204032,0.3901443
2025-03-10 17:37:50,Right,IndexIntermediate,0.1540593,0.8158176,0.4293543
2025-03-10 17:37:50,Right,IndexDistal,0.1457766,0.8036978,0.4513862
2025-03-10 17:37:50,Right,IndexTip,0.1395435,0.7897778,0.4704174
2025-03-10 17:37:50,Right,MiddleMetacarpal,0.1938333,0.7949173,0.3306002
2025-03-10 17:37:50,Right,MiddleProximal,0.1904656,0.8196257,0.3924116
2025-03-10 17:37:50,Right,MiddleIntermediate,0.1887912,0.8182873,0.4391238
2025-03-10 17:37:50,Right,MiddleDistal,0.1842682,0.8055217,0.4659044
2025-03-10 17:37:50,Right,MiddleTip,0.1796626,0.7918256,0.4889784
2025-03-10 17:37:50,Right,RingMetacarpal,0.2132316,0.7925181,0.3333386
2025-03-10 17:37:50,Right,RingProximal,0.2100595,0.8085529,0.3898197
2025-03-10 17:37:50,Right,RingIntermediate,0.2127053,0.8065578,0.4321695
2025-03-10 17:37:50,Right,RingDistal,0.2093698,0.7950881,0.4585371
2025-03-10 17:37:50,Right,RingTip,0.2035694,0.7823816,0.4811257
2025-03-10 17:37:50,Right,LittleMetacarpal,0.2206679,0.7868391,0.335026
2025-03-10 17:37:50,Right,LittleProximal,0.2274508,0.793448,0.383844
2025-03-10 17:37:50,Right,LittleIntermediate,0.2365755,0.7942747,0.4160298
2025-03-10 17:37:50,Right,LittleDistal,0.240802,0.7893495,0.4371821
2025-03-10 17:37:50,Right,LittleTip,0.2435173,0.7857806,0.4606767
2025-03-10 17:41:25,Left,Wrist,0.007855352,0.8756416,0.357075
2025-03-10 17:41:25,Left,Palm,-0.004229745,0.92074,0.4105172
2025-03-10 17:41:25,Left,ThumbMetacarpal,-0.03180307,0.9036131,0.3754211
2025-03-10 17:41:25,Left,ThumbProximal,-0.06022501,0.9175965,0.3917345
2025-03-10 17:41:25,Left,ThumbDistal,-0.08234885,0.9376944,0.4135982
2025-03-10 17:41:25,Left,ThumbTip,-0.1032741,0.9490368,0.426306
2025-03-10 17:41:25,Left,IndexMetacarpal,-0.01969519,0.9026445,0.3818306
2025-03-10 17:41:25,Left,IndexProximal,-0.03075129,0.9407275,0.434988
2025-03-10 17:41:25,Left,IndexIntermediate,-0.03184794,0.9724322,0.4618412
2025-03-10 17:41:25,Left,IndexDistal,-0.03241501,0.9975975,0.4705433
2025-03-10 17:41:25,Left,IndexTip,-0.0314773,1.021488,0.4760526
2025-03-10 17:41:25,Left,MiddleMetacarpal,-0.001745429,0.9024434,0.3817012
2025-03-10 17:41:25,Left,MiddleProximal,-0.006714074,0.9390365,0.4393332
2025-03-10 17:41:25,Left,MiddleIntermediate,-0.004291812,0.9825022,0.4571609
2025-03-10 17:41:25,Left,MiddleDistal,-0.003634267,1.012552,0.4599958
2025-03-10 17:41:25,Left,MiddleTip,-0.002970073,1.039906,0.4612051
2025-03-10 17:41:25,Left,RingMetacarpal,0.01922746,0.9051235,0.3847732
2025-03-10 17:41:25,Left,RingProximal,0.01481206,0.9404827,0.431987
2025-03-10 17:41:25,Left,RingIntermediate,0.01823424,0.980425,0.44679
2025-03-10 17:41:25,Left,RingDistal,0.01870871,1.009319,0.4503823
2025-03-10 17:41:25,Left,RingTip,0.01701332,1.035969,0.4512475
2025-03-10 17:41:25,Left,LittleMetacarpal,0.02781689,0.9086689,0.3825066
2025-03-10 17:41:25,Left,LittleProximal,0.03491468,0.942054,0.4190814
2025-03-10 17:41:25,Left,LittleIntermediate,0.03960263,0.9736035,0.4298521
2025-03-10 17:41:25,Left,LittleDistal,0.04112851,0.995791,0.4307626
2025-03-10 17:41:25,Left,LittleTip,0.0401038,1.019773,0.4324353
2025-03-10 17:41:25,Right,Wrist,0.2127604,0.807631,0.2908385
2025-03-10 17:41:25,Right,Palm,0.1977791,0.8182604,0.3603523
2025-03-10 17:41:25,Right,ThumbMetacarpal,0.1726532,0.8009474,0.3267188
2025-03-10 17:41:25,Right,ThumbProximal,0.1480027,0.7994478,0.352401
2025-03-10 17:41:25,Right,ThumbDistal,0.1346957,0.7972322,0.386889
2025-03-10 17:41:25,Right,ThumbTip,0.1212186,0.794057,0.410047
2025-03-10 17:41:25,Right,IndexMetacarpal,0.1839964,0.8082748,0.3282755
2025-03-10 17:41:25,Right,IndexProximal,0.1692083,0.8275592,0.3883227
2025-03-10 17:41:25,Right,IndexIntermediate,0.1581836,0.8208466,0.4278307
2025-03-10 17:41:25,Right,IndexDistal,0.1511573,0.8092346,0.4507464
2025-03-10 17:41:25,Right,IndexTip,0.1462083,0.7974357,0.4716811
2025-03-10 17:41:25,Right,MiddleMetacarpal,0.2021313,0.8077629,0.3289825
2025-03-10 17:41:25,Right,MiddleProximal,0.1934268,0.8287578,0.391722
2025-03-10 17:41:25,Right,MiddleIntermediate,0.1931757,0.825551,0.4386539
2025-03-10 17:41:25,Right,MiddleDistal,0.1912226,0.8148943,0.4668334
2025-03-10 17:41:25,Right,MiddleTip,0.1898807,0.8053373,0.4924653
2025-03-10 17:41:25,Right,RingMetacarpal,0.2211991,0.8072646,0.3320011
2025-03-10 17:41:25,Right,RingProximal,0.2141499,0.8195525,0.3894313
2025-03-10 17:41:25,Right,RingIntermediate,0.2182937,0.8163659,0.4318447
2025-03-10 17:41:25,Right,RingDistal,0.2183891,0.8073278,0.4595272
2025-03-10 17:41:25,Right,RingTip,0.2168708,0.798594,0.4847314
2025-03-10 17:41:25,Right,LittleMetacarpal,0.229082,0.8021295,0.3337264
2025-03-10 17:41:25,Right,LittleProximal,0.2331766,0.8063298,0.383408
2025-03-10 17:41:25,Right,LittleIntermediate,0.2428974,0.8055077,0.4156289
2025-03-10 17:41:25,Right,LittleDistal,0.2492895,0.8013622,0.4365428
2025-03-10 17:41:25,Right,LittleTip,0.2551167,0.7999546,0.4598464
2025-03-10 17:41:36,Left,Wrist,0.07267188,0.982294,0.3583781
2025-03-10 17:41:36,Left,Palm,0.06634411,1.048224,0.3837938
2025-03-10 17:41:36,Left,ThumbMetacarpal,0.03565369,1.018317,0.3624907
2025-03-10 17:41:36,Left,ThumbProximal,0.01066838,1.040042,0.3756525
2025-03-10 17:41:36,Left,ThumbDistal,-0.005563848,1.070449,0.3891936
2025-03-10 17:41:36,Left,ThumbTip,-0.02385199,1.087815,0.3987841
2025-03-10 17:41:36,Left,IndexMetacarpal,0.04813186,1.019731,0.3680604
2025-03-10 17:41:36,Left,IndexProximal,0.04251724,1.079422,0.3965077
2025-03-10 17:41:36,Left,IndexIntermediate,0.04432759,1.120678,0.3917947
2025-03-10 17:41:36,Left,IndexDistal,0.04558045,1.146044,0.3837768
2025-03-10 17:41:36,Left,IndexTip,0.04837128,1.169394,0.3767797
2025-03-10 17:41:36,Left,MiddleMetacarpal,0.06600014,1.01819,0.3673456
2025-03-10 17:41:36,Left,MiddleProximal,0.06668808,1.078259,0.400242
2025-03-10 17:41:36,Left,MiddleIntermediate,0.06857016,1.122431,0.3841734
2025-03-10 17:41:36,Left,MiddleDistal,0.0695874,1.149642,0.3711354
2025-03-10 17:41:36,Left,MiddleTip,0.07130511,1.174981,0.3608816
2025-03-10 17:41:36,Left,RingMetacarpal,0.08726028,1.020521,0.3679456
2025-03-10 17:41:36,Left,RingProximal,0.08771131,1.074413,0.3923256
2025-03-10 17:41:36,Left,RingIntermediate,0.09045584,1.115328,0.3802983
2025-03-10 17:41:36,Left,RingDistal,0.09165612,1.142403,0.3696421
2025-03-10 17:41:36,Left,RingTip,0.09112354,1.166949,0.3591048
2025-03-10 17:41:36,Left,LittleMetacarpal,0.09583291,1.021901,0.3639341
2025-03-10 17:41:36,Left,LittleProximal,0.1069452,1.068115,0.3795378
2025-03-10 17:41:36,Left,LittleIntermediate,0.1125751,1.100445,0.3720262
2025-03-10 17:41:36,Left,LittleDistal,0.1156571,1.120494,0.3628613
2025-03-10 17:41:36,Left,LittleTip,0.1166225,1.142831,0.3539668
2025-03-10 17:41:36,Right,Wrist,0.2093953,0.8100008,0.2835859
2025-03-10 17:41:36,Right,Palm,0.1939896,0.8218662,0.3528092
2025-03-10 17:41:36,Right,ThumbMetacarpal,0.1698714,0.8020212,0.3198552
2025-03-10 17:41:36,Right,ThumbProximal,0.1453942,0.7991629,0.3455877
2025-03-10 17:41:36,Right,ThumbDistal,0.1360492,0.7953655,0.38122
2025-03-10 17:41:36,Right,ThumbTip,0.1267229,0.790472,0.4060611
2025-03-10 17:41:36,Right,IndexMetacarpal,0.1807506,0.8100715,0.3211239
2025-03-10 17:41:36,Right,IndexProximal,0.1649815,0.8303033,0.3806029
2025-03-10 17:41:36,Right,IndexIntermediate,0.1548377,0.826649,0.4207431
2025-03-10 17:41:36,Right,IndexDistal,0.148729,0.8147687,0.443784
2025-03-10 17:41:36,Right,IndexTip,0.1447002,0.8023834,0.4645768
2025-03-10 17:41:36,Right,MiddleMetacarpal,0.1988862,0.8106756,0.3217636
2025-03-10 17:41:36,Right,MiddleProximal,0.1890931,0.8330567,0.3838548
2025-03-10 17:41:36,Right,MiddleIntermediate,0.1872539,0.8330909,0.4308608
2025-03-10 17:41:36,Right,MiddleDistal,0.1847569,0.8232211,0.4592829
2025-03-10 17:41:36,Right,MiddleTip,0.1829279,0.8144811,0.4851751
2025-03-10 17:41:36,Right,RingMetacarpal,0.217949,0.8114208,0.3247018
2025-03-10 17:41:36,Right,RingProximal,0.2103256,0.8250436,0.3817564
2025-03-10 17:41:36,Right,RingIntermediate,0.2125283,0.8245362,0.4244308
2025-03-10 17:41:36,Right,RingDistal,0.2113645,0.8157339,0.4521649
2025-03-10 17:41:36,Right,RingTip,0.2085603,0.8066288,0.4771264
2025-03-10 17:41:36,Right,LittleMetacarpal,0.2261306,0.8068237,0.3265494
2025-03-10 17:41:36,Right,LittleProximal,0.2300962,0.8128044,0.3760588
2025-03-10 17:41:36,Right,LittleIntermediate,0.2378959,0.8132999,0.4088043
2025-03-10 17:41:36,Right,LittleDistal,0.2422186,0.8082172,0.4300392
2025-03-10 17:41:36,Right,LittleTip,0.2454285,0.8053178,0.4537095
2025-03-10 17:43:48,Left,Wrist,0.1136441,0.9937792,0.3596055
2025-03-10 17:43:48,Left,Palm,0.1046752,1.060108,0.383596
2025-03-10 17:43:48,Left,ThumbMetacarpal,0.07419193,1.026809,0.3688445
2025-03-10 17:43:48,Left,ThumbProximal,0.04924693,1.047533,0.3836004
2025-03-10 17:43:48,Left,ThumbDistal,0.02934916,1.074118,0.399992
2025-03-10 17:43:48,Left,ThumbTip,0.008370332,1.085014,0.4129991
2025-03-10 17:43:48,Left,IndexMetacarpal,0.08722541,1.029327,0.3722776
2025-03-10 17:43:48,Left,IndexProximal,0.08018113,1.088943,0.3998683
2025-03-10 17:43:48,Left,IndexIntermediate,0.0746028,1.129612,0.3933534
2025-03-10 17:43:48,Left,IndexDistal,0.07048447,1.154442,0.3846444
2025-03-10 17:43:48,Left,IndexTip,0.06837095,1.177587,0.3767835
2025-03-10 17:43:48,Left,MiddleMetacarpal,0.1047647,1.029595,0.3683822
2025-03-10 17:43:48,Left,MiddleProximal,0.1045858,1.090622,0.3988097
2025-03-10 17:43:48,Left,MiddleIntermediate,0.09913293,1.135489,0.385765
2025-03-10 17:43:48,Left,MiddleDistal,0.09511355,1.163381,0.3749316
2025-03-10 17:43:48,Left,MiddleTip,0.09253119,1.189362,0.3666571
2025-03-10 17:43:48,Left,RingMetacarpal,0.1252093,1.033826,0.3649175
2025-03-10 17:43:48,Left,RingProximal,0.1240031,1.088673,0.3870368
2025-03-10 17:43:48,Left,RingIntermediate,0.1220329,1.129767,0.3754765
2025-03-10 17:43:48,Left,RingDistal,0.119893,1.157166,0.3658481
2025-03-10 17:43:48,Left,RingTip,0.1165511,1.182219,0.3571859
2025-03-10 17:43:48,Left,LittleMetacarpal,0.1326309,1.035915,0.3592571
2025-03-10 17:43:48,Left,LittleProximal,0.1410301,1.083833,0.3709187
2025-03-10 17:43:48,Left,LittleIntermediate,0.1460746,1.115168,0.359694
2025-03-10 17:43:48,Left,LittleDistal,0.1493468,1.13485,0.3498275
2025-03-10 17:43:48,Left,LittleTip,0.1519391,1.157316,0.3416088
2025-03-10 17:43:48,Right,Wrist,0.1690788,0.8195315,0.2604122
2025-03-10 17:43:48,Right,Palm,0.1672758,0.8210277,0.3321432
2025-03-10 17:43:48,Right,ThumbMetacarpal,0.134023,0.8152048,0.301198
2025-03-10 17:43:48,Right,ThumbProximal,0.1145857,0.8184155,0.3308856
2025-03-10 17:43:48,Right,ThumbDistal,0.1023318,0.8209643,0.3657389
2025-03-10 17:43:48,Right,ThumbTip,0.08701755,0.8242245,0.3877128
2025-03-10 17:43:48,Right,IndexMetacarpal,0.1469248,0.8194788,0.3019245
2025-03-10 17:43:48,Right,IndexProximal,0.1459482,0.8300844,0.3660091
2025-03-10 17:43:48,Right,IndexIntermediate,0.1530214,0.826639,0.4068207
2025-03-10 17:43:48,Right,IndexDistal,0.157566,0.8234035,0.4328633
2025-03-10 17:43:48,Right,IndexTip,0.164039,0.8219066,0.4564817
2025-03-10 17:43:48,Right,MiddleMetacarpal,0.1643946,0.8155107,0.299245
2025-03-10 17:43:48,Right,MiddleProximal,0.1701569,0.8265446,0.3650414
2025-03-10 17:43:48,Right,MiddleIntermediate,0.1785996,0.8242201,0.4112612
2025-03-10 17:43:48,Right,MiddleDistal,0.1836994,0.8213385,0.440878
2025-03-10 17:43:48,Right,MiddleTip,0.1906693,0.8224955,0.4673396
2025-03-10 17:43:48,Right,RingMetacarpal,0.1835556,0.8108767,0.2988988
2025-03-10 17:43:48,Right,RingProximal,0.1880514,0.8144466,0.3577712
2025-03-10 17:43:48,Right,RingIntermediate,0.1956539,0.8177099,0.399697
2025-03-10 17:43:48,Right,RingDistal,0.2000045,0.8181604,0.4284874
2025-03-10 17:43:48,Right,RingTip,0.2036624,0.820504,0.4548497
2025-03-10 17:43:48,Right,LittleMetacarpal,0.1904434,0.8042559,0.2984417
2025-03-10 17:43:48,Right,LittleProximal,0.2029343,0.7993588,0.3466357
2025-03-10 17:43:48,Right,LittleIntermediate,0.2123533,0.8113726,0.3766407
2025-03-10 17:43:48,Right,LittleDistal,0.2188532,0.8165924,0.3972791
2025-03-10 17:43:48,Right,LittleTip,0.2246646,0.8249537,0.4190808
